post_id,thread_id,username,timestamp,category,label,title,content,replies,upvotes
91,1202,vortex9x,2024-12-29 11:33:52,fraud_carding,malicious,CVV service - daily updates,"Had a chargeback hit my account, anyone know how sellers usually handle it? Will update thread as stock changes.",19,12
92,1096,wraith_,2024-12-30 22:01:48,benign_general,benign,"How to spot a scammer, general tips","General tips thread on spotting scam listings, share your own red flags.",34,57
93,1168,static9x847,2024-12-30 22:50:03,weapons,malicious,"Trade offer, ammo for parts","Have a small batch of parts available this month, discreet packaging as always. Will update thread as stock changes.",34,20
94,1217,bytedark,2025-01-01 03:49:28,extremism,malicious,Funding drive announcement,"Starting a funding drive, crypto wallet shared in the pinned members-only post. Will update thread as stock changes.",45,31
95,1113,onyxroot,2025-01-01 15:17:07,fraud_carding,malicious,CVV service - daily updates,"Daily updated list, DM for pricing tiers and sample checker output.",36,29
96,1207,kryo9x,2025-01-03 12:41:27,fraud_carding,malicious,"Selling verified accounts, bulk discount","Custom kit for sale, private deal only, proof available on request to serious buyers.",11,1
97,1176,cipher9x,2025-01-04 02:07:57,benign_general,benign,OPSEC basics megathread,"New here, what's considered normal etiquette before messaging a vendor directly?",30,50
98,1032,obscura9x,2025-01-06 15:02:00,hacking_malware,malicious,Zero-day rumor thread,"Hiring a coder for a private project, paid in crypto, message with portfolio.",28,56
99,1090,driftprime,2025-01-07 02:37:55,hacking_malware,malicious,Zero-day rumor thread,"Heard rumors of an unpatched issue in a popular product, anyone have more info?",19,43
100,1216,nulldark,2025-01-07 04:33:15,fraud_carding,malicious,"Selling verified accounts, bulk discount","Bulk verified account logs for sale, discount for buyers taking 10+.",10,30
101,1175,drift9x,2025-01-07 09:02:12,drugs,malicious,Fresh batch available - restock,"Shipping worldwide, stealth methods discussed in private, vouches available on request.",38,7
102,1153,obscura88,2025-01-10 03:30:36,drugs,malicious,Stealth packaging question,"Payment through escrow only, will not deal outside the platform's system.",13,-4
103,1198,glitch88227,2025-01-10 04:49:20,extremism,malicious,Recruitment thread - new members,"Coordinating a private meetup, details shared only with verified members.",3,45
104,1213,obscura513,2025-01-10 21:13:55,benign_general,benign,PGP setup help,"Curious what people are using these days for their VPN, looking for recommendations.",12,38
105,1163,fenrir88960,2025-01-11 10:48:05,extremism,malicious,Meetup coordination - private channel,"Discussion thread on the recent manifesto circulating, thoughts welcome from members. Prices negotiable for bulk.",2,14
106,1001,driftv2285,2025-01-11 23:21:43,extremism,malicious,Meetup coordination - private channel,"Looking to expand our private channel, message if you share the cause and want in.",13,38
107,1196,ghostroot365,2025-01-12 11:03:41,extremism,malicious,Funding drive announcement,"Starting a funding drive, crypto wallet shared in the pinned members-only post.",8,28
108,1029,kryozero77,2025-01-12 18:59:37,fraud_carding,malicious,"Chargeback question, need advice","Daily updated list, DM for pricing tiers and sample checker output. Only dealing with verified members.",0,47
109,1047,driftroot350,2025-01-13 11:20:08,marketplace_general,malicious,New vendor introduction,"New here, been vending elsewhere for a year, moving over with existing vouches.",23,34
110,1134,hexv2140,2025-01-13 13:05:57,hacking_malware,malicious,Zero-day rumor thread,"Heard rumors of an unpatched issue in a popular product, anyone have more info?",27,57
111,1021,fenrir,2025-01-14 19:55:57,weapons,malicious,"Trade offer, ammo for parts","Open to trading, have surplus accessories, looking for specific ammo type.",30,52
112,1074,vortexcore,2025-01-14 23:22:19,benign_general,benign,Market etiquette for new users,"Reminder from the mods: no doxxing, no personal info, follow the posted rules.",31,60
113,1206,glitch13,2025-01-15 09:45:36,weapons,malicious,Accessory bundle for sale,"Have a small batch of parts available this month, discreet packaging as always.",24,43
114,1006,phantomnight,2025-01-15 11:17:41,fraud_carding,malicious,"New phishing kit, private sale","Need a reliable cashout method for a specific region, willing to split profit. Only dealing with verified members.",43,49
115,1172,vortex13,2025-01-16 10:51:44,hacking_malware,malicious,Zero-day rumor thread,"Have access to a number of compromised boxes, selling per-host, DM with your use case.",41,47
116,1024,onyx88,2025-01-19 09:40:15,hacking_malware,malicious,"RDP access, various countries","Selling RDP access across multiple regions, uptime guaranteed for the listed period. Prices negotiable for bulk.",29,11
117,1137,fenrir88430,2025-01-20 09:47:14,hacking_malware,malicious,"Looking for a coder, paid work","Have access to a number of compromised boxes, selling per-host, DM with your use case.",26,58
118,1204,hexroot,2025-01-20 12:32:57,marketplace_general,malicious,New vendor introduction,"Having a dispute over an order, mediator requested, ticket number in my profile. No middlemen, direct contact only.",27,32
119,1109,kryozero,2025-01-20 19:36:46,weapons,malicious,"Looking for supplier, serious buyers only","Worried about customs on this route, anyone shipped through here recently?",31,31
120,1225,hexdark,2025-01-21 07:35:33,weapons,malicious,"Trade offer, ammo for parts","Bundle deal this week, message for the full list and current prices.",2,33
121,1138,cipherv2,2025-01-23 08:00:17,drugs,malicious,Fresh batch available - restock,"Looking for a mid-size supplier for my region, must have prior positive feedback. Prices negotiable for bulk.",24,15
122,1155,phantomnight663,2025-01-23 15:35:36,hacking_malware,malicious,"RDP access, various countries","Heard rumors of an unpatched issue in a popular product, anyone have more info? Only dealing with verified members.",21,40
123,1142,obscura77,2025-01-24 23:02:59,benign_general,benign,Site rules reminder,"Weekly thread to check in, how's everyone's week been on here? No middlemen, direct contact only.",17,46
124,1213,glitchdark,2025-01-27 03:29:17,fraud_carding,malicious,"Selling verified accounts, bulk discount","Need a reliable cashout method for a specific region, willing to split profit.",7,42
125,1081,ghost944,2025-01-27 04:27:29,marketplace_general,malicious,New vendor introduction,"New here, been vending elsewhere for a year, moving over with existing vouches.",26,17
126,1226,wraithcore,2025-01-27 10:41:43,extremism,malicious,Manifesto discussion,"Starting a funding drive, crypto wallet shared in the pinned members-only post.",16,25
127,1046,wraith77,2025-02-01 02:39:31,marketplace_general,malicious,Feedback for recent purchase,"New here, been vending elsewhere for a year, moving over with existing vouches. Prices negotiable for bulk.",9,46
128,1011,phantomprime,2025-02-02 17:28:44,marketplace_general,malicious,Feedback for recent purchase,"New here, been vending elsewhere for a year, moving over with existing vouches. First come first served.",17,54
129,1002,wraith13,2025-02-09 13:31:59,weapons,malicious,"Parts available, discreet shipping","Open to trading, have surplus accessories, looking for specific ammo type. Will update thread as stock changes.",45,3
130,1140,kryo99828,2025-02-09 21:41:19,extremism,malicious,Funding drive announcement,"Starting a funding drive, crypto wallet shared in the pinned members-only post. No middlemen, direct contact only.",8,0
131,1179,raven13,2025-02-11 07:13:35,extremism,malicious,Funding drive announcement,"Coordinating a private meetup, details shared only with verified members.",29,46
132,1149,obscura,2025-02-11 07:34:24,weapons,malicious,"Parts available, discreet shipping","Open to trading, have surplus accessories, looking for specific ammo type.",32,10
133,1110,obscura_,2025-02-11 18:28:22,hacking_malware,malicious,"RDP access, various countries","Renting out infrastructure by the hour or day, contact for current availability. Prices negotiable for bulk.",24,59
134,1220,specterroot,2025-02-12 04:30:15,marketplace_general,malicious,"Escrow dispute, need mediator","How much is the vendor bond on this market currently, and how long does it last?",13,35
135,1149,phantom_,2025-02-15 18:48:47,weapons,malicious,"Trade offer, ammo for parts","Bundle deal this week, message for the full list and current prices.",21,47
136,1181,raven9x272,2025-02-20 19:38:50,marketplace_general,malicious,"Escrow dispute, need mediator","How much is the vendor bond on this market currently, and how long does it last?",14,20
137,1207,nomad9x846,2025-02-21 11:39:34,drugs,malicious,"Escrow release delayed, advice?",Anyone have experience with this vendor's turnaround time? First order feels slow. Will update thread as stock changes.,3,18
138,1210,driftzero,2025-02-23 04:48:55,fraud_carding,malicious,"Fresh dumps available, high balance","Had a chargeback hit my account, anyone know how sellers usually handle it?",44,21
139,1167,cipherdark,2025-02-23 08:41:01,drugs,malicious,"Escrow release delayed, advice?",Anyone have experience with this vendor's turnaround time? First order feels slow.,22,22
140,1200,vortex88551,2025-02-24 18:39:22,marketplace_general,malicious,New vendor introduction,"Left feedback for my last order, decent turnaround, packaging was solid.",13,28
141,1145,spectercore989,2025-02-26 16:12:07,benign_general,benign,Off-topic: what are you reading lately,"Curious what people are using these days for their VPN, looking for recommendations. No middlemen, direct contact only.",14,23
142,1176,kryox,2025-02-26 18:48:13,benign_general,benign,Which VPN do you use?,"Struggling to get my PGP key set up correctly, any beginner-friendly guides?",32,46
143,1197,onyx13940,2025-03-01 02:20:19,extremism,malicious,Manifesto discussion,"Discussion thread on the recent manifesto circulating, thoughts welcome from members. Prices negotiable for bulk.",4,36
144,1191,ghost9x683,2025-03-01 08:52:52,extremism,malicious,Funding drive announcement,"Looking to expand our private channel, message if you share the cause and want in. Prices negotiable for bulk.",7,25
145,1025,null13,2025-03-01 12:10:03,fraud_carding,malicious,"Fresh dumps available, high balance","Custom kit for sale, private deal only, proof available on request to serious buyers. First come first served.",29,27
146,1131,ghostcore971,2025-03-02 15:08:33,fraud_carding,malicious,CVV service - daily updates,"Selling fresh cards, high balance guaranteed, replacements offered within 24h. First come first served.",36,44
147,1158,ghost9x,2025-03-05 08:30:32,extremism,malicious,Manifesto discussion,"Sharing material for the cause, redistribute within trusted circles only.",29,37
148,1143,null9x,2025-03-09 06:26:54,drugs,malicious,Looking for trusted supplier in region,"Looking for a mid-size supplier for my region, must have prior positive feedback.",8,33
149,1047,onyxzero721,2025-03-10 22:35:19,hacking_malware,malicious,"Looking for a coder, paid work","Have access to a number of compromised boxes, selling per-host, DM with your use case. No middlemen, direct contact only.",32,40
150,1027,hexdark,2025-03-11 06:33:17,marketplace_general,malicious,Market downtime - status update,"Left feedback for my last order, decent turnaround, packaging was solid.",7,19
151,1203,riven99,2025-03-11 13:31:58,drugs,malicious,"Escrow release delayed, advice?",Anyone have experience with this vendor's turnaround time? First order feels slow. Will update thread as stock changes.,43,-2
152,1218,fenrirroot,2025-03-12 04:06:26,benign_general,benign,"How to spot a scammer, general tips","Curious what people are using these days for their VPN, looking for recommendations.",14,13
153,1155,obscurav2,2025-03-14 08:30:33,weapons,malicious,Accessory bundle for sale,"Looking for a new supplier after my last contact went dark, vouches required. No middlemen, direct contact only.",0,-4
154,1033,vortex88,2025-03-17 16:40:19,extremism,malicious,Funding drive announcement,"Sharing material for the cause, redistribute within trusted circles only.",36,44
155,1195,byte13,2025-03-19 04:24:28,extremism,malicious,Meetup coordination - private channel,"Coordinating a private meetup, details shared only with verified members.",36,22
156,1034,rivennight,2025-03-19 06:24:24,benign_general,benign,Market etiquette for new users,"New here, what's considered normal etiquette before messaging a vendor directly? Will update thread as stock changes.",31,13
157,1198,glitch99,2025-03-20 10:05:41,marketplace_general,malicious,Market downtime - status update,"Having a dispute over an order, mediator requested, ticket number in my profile.",4,29
158,1191,onyxcore,2025-03-21 00:31:40,hacking_malware,malicious,Selling access to compromised servers,"Builder tool for sale, private support included, no source code shared publicly.",0,0
159,1034,wraithprime150,2025-03-21 21:11:03,marketplace_general,malicious,Feedback for recent purchase,"New here, been vending elsewhere for a year, moving over with existing vouches. Only dealing with verified members.",33,47
160,1119,raven77,2025-03-22 02:26:49,weapons,malicious,"Trade offer, ammo for parts","Have a small batch of parts available this month, discreet packaging as always.",5,50
161,1201,shadow77,2025-03-24 08:44:16,extremism,malicious,Recruitment thread - new members,"Discussion thread on the recent manifesto circulating, thoughts welcome from members. No middlemen, direct contact only.",33,34
162,1188,onyxdark235,2025-03-24 08:49:10,weapons,malicious,"Trade offer, ammo for parts","Have a small batch of parts available this month, discreet packaging as always. Will update thread as stock changes.",18,51
163,1189,nomadprime405,2025-03-26 07:24:55,extremism,malicious,Manifesto discussion,"Looking to expand our private channel, message if you share the cause and want in.",10,44
164,1171,cipherzero,2025-03-27 14:55:29,extremism,malicious,Manifesto discussion,"Sharing material for the cause, redistribute within trusted circles only.",24,23
165,1120,wraith_,2025-03-30 08:43:21,extremism,malicious,Meetup coordination - private channel,"Looking to expand our private channel, message if you share the cause and want in.",6,9
166,1200,glitch77,2025-03-30 15:03:56,extremism,malicious,Manifesto discussion,"Looking to expand our private channel, message if you share the cause and want in.",10,2
167,1188,wraithprime,2025-04-03 00:10:06,weapons,malicious,"Trade offer, ammo for parts","Looking for a new supplier after my last contact went dark, vouches required.",9,33
168,1082,raven77,2025-04-03 18:24:14,marketplace_general,malicious,New vendor introduction,"Having a dispute over an order, mediator requested, ticket number in my profile.",24,25
169,1007,obscurazero170,2025-04-07 02:01:40,weapons,malicious,"Parts available, discreet shipping","Open to trading, have surplus accessories, looking for specific ammo type.",33,49
170,1137,byteroot12,2025-04-07 04:55:56,hacking_malware,malicious,Custom malware builder for sale,"Heard rumors of an unpatched issue in a popular product, anyone have more info?",13,26
171,1029,phantom,2025-04-07 12:45:44,marketplace_general,malicious,Market downtime - status update,"Having a dispute over an order, mediator requested, ticket number in my profile.",9,4
172,1144,wraith88204,2025-04-14 00:19:29,benign_general,benign,PGP setup help,"Pinned thread on general operational security basics, please read before posting. No middlemen, direct contact only.",23,54
173,1050,hexcore,2025-04-14 13:18:08,marketplace_general,malicious,Feedback for recent purchase,"Having a dispute over an order, mediator requested, ticket number in my profile.",37,2
174,1181,specter9x,2025-04-14 14:24:32,extremism,malicious,Recruitment thread - new members,"Sharing material for the cause, redistribute within trusted circles only.",31,18
175,1042,ghostprime,2025-04-15 11:49:01,marketplace_general,malicious,Feedback for recent purchase,"Market's been down for hours, anyone else seeing the same outage?",12,10
176,1027,staticv2,2025-04-18 10:13:34,benign_general,benign,Site rules reminder,"New here, what's considered normal etiquette before messaging a vendor directly?",38,30
177,1192,phantom13,2025-04-21 02:55:22,marketplace_general,malicious,Market downtime - status update,"How much is the vendor bond on this market currently, and how long does it last? No middlemen, direct contact only.",20,47
178,1035,fenrir,2025-04-24 14:51:25,marketplace_general,malicious,Feedback for recent purchase,"How much is the vendor bond on this market currently, and how long does it last? Only dealing with verified members.",43,15
179,1210,raven88,2025-04-26 20:06:14,marketplace_general,malicious,Vendor bond question,"How much is the vendor bond on this market currently, and how long does it last?",12,-5
180,1150,ghostdark972,2025-04-27 02:26:13,weapons,malicious,"Trade offer, ammo for parts","Open to trading, have surplus accessories, looking for specific ammo type.",29,38
